strategy,fold,status,error,train_main_macro_f1,val_main_macro_f1,test_main_macro_f1,test_main_micro_f1,test_main_weighted_f1,test_accuracy,test_balanced_accuracy,test_macro_auc,test_loss,checkpoint_path,output_dir,trainable_params,total_params,trainable_ratio,train_f1_NORM,val_f1_NORM,test_f1_NORM,test_sensitivity_NORM,test_specificity_NORM,test_auc_NORM,train_f1_AMI,val_f1_AMI,test_f1_AMI,test_sensitivity_AMI,test_specificity_AMI,test_auc_AMI,train_f1_IMI,val_f1_IMI,test_f1_IMI,test_sensitivity_IMI,test_specificity_IMI,test_auc_IMI,train_f1_Lateral-involved,val_f1_Lateral-involved,test_f1_Lateral-involved,test_sensitivity_Lateral-involved,test_specificity_Lateral-involved,test_auc_Lateral-involved
partial_finetune,1,OK,,0.9907332149693061,0.967558072855123,0.6554115864405674,0.6962524654832347,0.6841225011221027,0.6962524654832347,0.6449024039649143,0.951583879135869,0.6257558917623065,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_1,449333,513493,0.8750518507555117,0.9929506545820745,0.976,0.8482490272373541,0.7730496453900709,0.9808743169398907,0.9880440258884626,0.9938080495356038,0.9700598802395209,0.7142857142857143,0.7216494845360825,0.9292682926829269,0.9579331154136284,0.989282769991756,0.9706840390879479,0.6862302483069977,0.8260869565217391,0.6687306501547987,0.9034863373266926,0.9868913857677902,0.9534883720930233,0.3728813559322034,0.25882352941176473,0.9739336492890995,0.956872037914692
partial_finetune,2,OK,,0.98197360565788,0.9418105008429146,0.647794264349103,0.6942800788954635,0.6801597253152916,0.6942800788954635,0.6359446639933714,0.9499550059592872,0.6872354901048559,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_2,449333,513493,0.8750518507555117,0.982982982982983,0.9711934156378601,0.84375,0.7659574468085106,0.9808743169398907,0.9920358097895594,0.9876160990712074,0.9580838323353293,0.7391304347826086,0.7010309278350515,0.9536585365853658,0.9380437515715363,0.9760923330585326,0.9216300940438872,0.6916299559471366,0.8532608695652174,0.6501547987616099,0.9183604792031229,0.981203007518797,0.9163346613545816,0.31666666666666665,0.2235294117647059,0.9620853080568721,0.95137998327293
partial_finetune,3,OK,,0.9924641840158415,0.9896401084051932,0.6207022083873589,0.6785009861932939,0.6552184680351364,0.6785009861932939,0.6238184176414302,0.9482210661626942,0.998773639606536,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_3,449333,513493,0.8750518507555117,0.9949647532729103,0.9959839357429718,0.8714285714285714,0.8652482269503546,0.953551912568306,0.9839359764368484,0.9922720247295209,0.9875,0.7329842931937173,0.7216494845360825,0.9414634146341463,0.9686949962283129,0.9900826446280991,0.990228013029316,0.6420323325635104,0.7554347826086957,0.6594427244582043,0.8922466011576256,0.9925373134328358,0.9848484848484849,0.23636363636363636,0.15294117647058825,0.9715639810426541,0.94800669082799
partial_finetune,4,OK,,0.9942620032803062,0.9702125441957139,0.847091950046358,0.8461538461538461,0.8468021477321341,0.8461538461538461,0.8397820505124907,0.9753911482552304,0.43704773030102373,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_4,449333,513493,0.8750518507555117,0.9959758551307847,0.9841269841269841,0.9111111111111111,0.8723404255319149,0.9836065573770492,0.9919195442390419,0.9969040247678018,0.9818181818181818,0.7379679144385026,0.711340206185567,0.948780487804878,0.9503394518481267,0.9925558312655087,0.9741935483870968,0.8226221079691517,0.8695652173913043,0.8606811145510835,0.9615358729304078,0.9916123019571296,0.9407114624505929,0.9166666666666666,0.9058823529411765,0.985781990521327,0.9977697240033454
partial_finetune,5,OK,,0.9932503635325259,0.9871616013170572,0.8900004680495108,0.8856015779092702,0.8860968028601653,0.8856015779092702,0.8811406587440187,0.9797398079904935,0.40236688906389345,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/partial_finetune/fold_5,449333,513493,0.8750518507555117,0.9929506545820745,0.9959839357429718,0.8913857677902621,0.8439716312056738,0.9808743169398907,0.9864744409564778,0.9922480620155039,0.9813664596273292,0.8817204301075269,0.845360824742268,0.9829268292682927,0.9734976112647724,0.9934102141680395,0.9901639344262295,0.8702290076335878,0.9293478260869565,0.8823529411764706,0.9690234217256697,0.994392523364486,0.9811320754716981,0.9166666666666666,0.9058823529411765,0.985781990521327,0.9899637580150543
full_finetune,1,OK,,0.9979204603467458,0.9928287256417403,0.8824208658835988,0.8856015779092702,0.8833393306600701,0.8856015779092702,0.8779828321746124,0.9740723900625945,0.6503013993156027,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_1/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_1,513493,513493,1.0,0.9969727547931383,0.9919354838709677,0.8937728937728938,0.8652482269503546,0.9726775956284153,0.9697709568654808,0.9984544049459042,1.0,0.8242424242424242,0.7010309278350515,1.0,0.9755846115162183,1.0,0.9868421052631579,0.8877551020408163,0.9456521739130435,0.8947368421052632,0.9592138915062594,0.9962546816479401,0.9925373134328358,0.9239130434782609,1.0,0.966824644549763,0.9917201003624199
full_finetune,2,OK,,0.9977311792696414,0.9759862964953514,0.8386897958594199,0.8382642998027613,0.8379831702876521,0.8382642998027613,0.8322754979377142,0.9559641848389084,0.8824489706836979,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_2/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_2,513493,513493,1.0,0.9959839357429718,0.975609756097561,0.8773234200743495,0.8368794326241135,0.9726775956284153,0.9518466844940511,1.0,0.9938650306748467,0.770949720670391,0.711340206185567,0.9682926829268292,0.9653256223283883,0.9958779884583677,0.9612903225806452,0.8214285714285714,0.875,0.8544891640866873,0.9343956117916274,0.9990627928772259,0.9731800766283525,0.8850574712643678,0.9058823529411765,0.9715639810426541,0.9722888207415668
full_finetune,3,OK,,0.9986437955939295,0.9859255071282076,0.8586453332641821,0.8579881656804734,0.8558588406938401,0.8579881656804734,0.861422778959281,0.974358503522843,0.6420728933117563,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_3/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_3,513493,513493,1.0,0.9979879275653923,0.9919354838709677,0.8865248226950354,0.8865248226950354,0.9562841530054644,0.9717087160407705,1.0,0.9876543209876543,0.7752808988764045,0.711340206185567,0.9707317073170731,0.9711591651998994,0.9975227085053675,0.987012987012987,0.8387096774193549,0.8478260869565217,0.9009287925696594,0.9548727958002423,0.9990645463049579,0.9770992366412213,0.9340659340659341,1.0,0.9715639810426541,0.9996933370504599
full_finetune,4,OK,,0.9978433470323549,0.9854470389164698,0.8670351832599223,0.8678500986193294,0.8660868526883502,0.8678500986193294,0.8690205271623894,0.9683529838537739,0.6613289463449512,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_4/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_4,513493,513493,1.0,0.9979879275653923,1.0,0.8985507246376812,0.8794326241134752,0.9699453551912568,0.9786071387048018,0.9969040247678018,0.9815950920245399,0.7865168539325843,0.7216494845360825,0.973170731707317,0.964621574050792,0.9983471074380166,0.987012987012987,0.8541114058355438,0.875,0.9009287925696594,0.9529041593754207,0.9981343283582089,0.9731800766283525,0.9289617486338798,1.0,0.9691943127962085,0.9772790632840814
full_finetune,5,OK,,0.9990296921717219,0.9957478335896763,0.8511003755929466,0.8500986193293886,0.8483583102991216,0.8500986193293886,0.8535018723912885,0.9684069198161793,0.7841964690878076,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_5/checkpoints/best_macro_f1.pt,/home/nugee/code-program/code-thesis/hibah/myocardial-infarction-localization/outputs/3_alpanet_finetune/20260612_150432/transfer_strategies/full_finetune/fold_5,513493,513493,1.0,0.9979879275653923,1.0,0.875,0.8439716312056738,0.9672131147540983,0.9736755416036895,1.0,0.9937888198757764,0.7666666666666667,0.711340206185567,0.9658536585365853,0.9611013326628112,1.0,0.9967213114754099,0.8337730870712401,0.8586956521739131,0.8854489164086687,0.9486640193834971,0.9981308411214953,0.9924812030075187,0.9289617486338798,1.0,0.9691943127962085,0.9901867856147197
