strategy,fold,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_Lateral-involved MI,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_Lateral-involved MI,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_Lateral-involved MI,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_Lateral-involved MI,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_Lateral-involved MI,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_Lateral-involved MI
partial_finetune,1,0.9408224674022068,0.8949771689497716,0.9069958847736626,0.8753568030447193,0.9377593360995852,0.9411764705882352,0.9182389937106918,0.9185185185185184,0.8267716535433071,0.7564102564102564,0.7004048582995951,0.0,0.7446808510638298,0.6082474226804123,0.9402173913043478,0.0,0.9781420765027322,1.0,0.5758513931888545,0.9407582938388626,0.9787621594388248,0.9837566004526024,0.8762955983308656,0.7353498745469752
partial_finetune,2,0.9317507418397626,0.9316770186335404,0.8966666666666666,0.8959700093720713,0.9535864978902954,0.9333333333333332,0.9556962025316456,0.9465648854961832,0.8666666666666667,0.8588235294117647,0.7094017094017094,0.0,0.8297872340425532,0.7525773195876289,0.9021739130434784,0.0,0.9672131147540984,1.0,0.6346749226006192,0.9502369668246444,0.982715188156416,0.9982650238873524,0.8620776685960425,0.7593253415110119
partial_finetune,3,0.942,0.9074355083459787,0.925,0.8918156161806209,0.9159663865546218,0.9447852760736196,0.9250814332247556,0.9191176470588236,0.875968992248062,0.8977272727272727,0.7066381156316917,0.0707964601769911,0.8014184397163121,0.8144329896907216,0.8967391304347826,0.0470588235294117,0.989071038251366,1.0,0.6346749226006192,0.943127962085308,0.9864550633647252,0.9677395021372894,0.8669235428725266,0.8427097853359353
partial_finetune,4,0.9495967741935484,0.9402756508422664,0.9210526315789472,0.9010367577756834,0.88,0.9419354838709676,0.8996960486322189,0.9298892988929888,0.7634854771784232,0.8170731707317073,0.7075098814229249,0.0,0.6524822695035462,0.6907216494845361,0.9728260869565216,0.0,0.9781420765027322,1.0,0.5572755417956656,0.957345971563981,0.9672131147540984,0.997384963540357,0.9014503970924754,0.8328408140507388
partial_finetune,5,0.929070929070929,0.8947368421052632,0.906688687035508,0.8796992481203008,0.9106382978723404,0.9230769230769232,0.9158878504672896,0.9253731343283582,0.8594377510040161,0.8383233532934131,0.7027027027027027,0.0,0.7588652482269503,0.7216494845360825,0.9184782608695652,0.0,0.9972677595628416,1.0,0.6037151702786377,0.924170616113744,0.985912490795644,0.9807895398541616,0.866502894063804,0.7145525508781712
full_finetune,1,0.992936427850656,0.989247311827957,0.9909015715467328,0.9859681945743686,0.9959839357429718,1.0,0.9832775919732442,0.9852941176470588,0.9562043795620438,0.8470588235294118,0.9481865284974094,0.9239130434782608,0.9290780141843972,0.7422680412371134,0.9945652173913044,1.0,0.994535519125683,0.997560975609756,0.9411764705882352,0.966824644549763,0.9937216602720612,0.9795825999497108,0.9808184143222508,0.971563981042654
full_finetune,2,0.9969849246231156,0.9953632148377124,0.9967051070840196,0.9924953095684804,0.9959514170040484,0.9875,0.9966996699669968,0.9851851851851852,0.9432624113475178,0.8654970760233918,0.8925619834710744,0.8585858585858586,0.9432624113475178,0.7628865979381443,0.8804347826086957,1.0,0.9781420765027322,1.0,0.9473684210526316,0.933649289099526,0.9937022826803084,0.94075936635655,0.97745322385247,0.971563981042654
full_finetune,3,0.993939393939394,0.9876543209876544,0.9950576606260296,0.9869158878504672,0.9794238683127572,1.0,0.9834983498349836,0.978102189781022,0.9097472924187726,0.779874213836478,0.90625,0.8762886597938144,0.8936170212765957,0.6391752577319587,0.9456521739130436,1.0,0.9726775956284152,1.0,0.9195046439628484,0.943127962085308,0.979905437352246,0.9873774201659544,0.9621079553102706,0.9633677167549484
full_finetune,4,0.993963782696177,0.9906542056074766,0.996694214876033,0.9869888475836432,1.0,1.0,0.9933774834437086,0.9925373134328358,0.9290780141843972,0.7236842105263158,0.8624338624338624,0.801980198019802,0.9290780141843972,0.5670103092783505,0.8858695652173914,0.9529411764705882,0.9726775956284152,1.0,0.9040247678018576,0.914691943127962,0.993992946556602,0.9963791802866482,0.9654563198277024,0.9397267911904098
full_finetune,5,0.9989949748743718,0.9953488372093025,0.9909315746084087,0.9878391019644528,1.0,1.0,1.0,1.0,0.9219858156028368,0.8192771084337349,0.900804289544236,0.8808290155440415,0.9219858156028368,0.7010309278350515,0.9130434782608696,1.0,0.9699453551912568,0.997560975609756,0.934984520123839,0.9454976303317536,0.9875208309111344,0.994342469197888,0.9686700767263428,0.9718985224421522
