strategy,fold,train_f1_NORM,train_f1_AMI,train_f1_IMI,train_f1_LMI,val_f1_NORM,val_f1_AMI,val_f1_IMI,val_f1_LMI,test_f1_NORM,test_f1_AMI,test_f1_IMI,test_f1_LMI,test_sensitivity_NORM,test_sensitivity_AMI,test_sensitivity_IMI,test_sensitivity_LMI,test_specificity_NORM,test_specificity_AMI,test_specificity_IMI,test_specificity_LMI,test_auc_NORM,test_auc_AMI,test_auc_IMI,test_auc_LMI
partial_finetune,1,0.9997826244475038,0.9999110241124656,0.9997801231310466,1.0,0.999420625724218,0.9996445076430855,0.9993399339933994,1.0,0.9036801453884598,0.5984174085064293,0.6168521462639109,0.7203579418344519,0.9788385826771654,0.6974063400576369,0.5213496566139146,1.0,0.9273593898951382,0.8016961385781306,0.8559063136456212,0.982433951658235,0.9798540323367588,0.8608853325457054,0.8185939779573682,0.9995522294261204
partial_finetune,2,1.0,1.0,1.0,1.0,0.9985519837822184,0.9992877492877492,0.9984605234220364,1.0,0.8845598845598845,0.6084815321477428,0.6974632007516443,0.7661971830985915,0.90501968503937,0.6409221902017291,0.6649746192893401,0.84472049689441,0.9452812202097236,0.8542042583904728,0.7937881873727087,0.991849353569421,0.9724438066249822,0.8459708778757344,0.8222678259431183,0.9972610057293684
partial_finetune,3,0.999855072463768,1.0,0.9998900615655232,1.0,0.9988412514484356,0.9996440014239945,0.9989003738728832,1.0,0.8137609932747025,0.6274834437086093,0.696,0.9235668789808916,0.7741141732283464,0.6553314121037463,0.7014034040011944,0.9006211180124224,0.95023832221163,0.8643089137495489,0.7321792260692465,0.9988757729061272,0.9574773124760738,0.8593983382854742,0.807748604471408,0.9996046002534748
partial_finetune,4,1.0,1.0,1.0,1.0,0.999129677980853,0.998576512455516,0.998461876510657,1.0,0.9225142857142856,0.5912328767123287,0.723274478330658,0.903010033444816,0.9931102362204725,0.6219020172910663,0.6727381307853091,0.8385093167701864,0.9380362249761678,0.8491519307109346,0.840122199592668,0.9995784148397976,0.9788033034836326,0.8473326559456371,0.8385324463818424,0.999594126088004
partial_finetune,5,0.9999275309805058,0.9999110557680334,0.9998900615655232,1.0,0.9997102289191538,0.9985754985754984,0.9989008573312816,1.0,0.8899609464736963,0.6210886142519064,0.7178988326848249,0.6,0.953248031496063,0.6806916426512968,0.6610928635413557,0.4285714285714285,0.926787416587226,0.8399494767232046,0.8459775967413442,1.0,0.9805245246691636,0.8337430072893711,0.8015559938553565,0.99144522535167
full_finetune,1,1.0,1.0,1.0,1.0,0.9997100608872136,1.0,0.9997801714662564,1.0,0.8735632183908046,0.5935420261276806,0.7283641820910455,0.9938271604938272,0.8976377952755905,0.6939481268011527,0.6521349656613915,1.0,0.9389895138226882,0.7982677733670155,0.8818737270875764,0.9997189432265318,0.9834072851534644,0.8128341915079711,0.7688814075880024,1.0
full_finetune,2,1.0,1.0,1.0,1.0,0.999420625724218,0.9992877492877492,0.9995602462620932,1.0,0.9218604651162792,0.5416792055371652,0.7769477054429029,0.8655913978494624,0.9753937007874016,0.5187319884726225,0.7608241266049567,1.0,0.9454718779790277,0.8758570913027788,0.8314663951120163,0.992973580663294,0.992430408037651,0.8520760511555978,0.8224484814447454,1.0
full_finetune,3,0.9999275519814532,0.9999110399430656,1.0,1.0,0.9991306867574616,0.9996440014239945,0.9991204925241864,1.0,0.8114593535749265,0.5683975432719152,0.7061713233036536,0.8556149732620321,0.8154527559055118,0.5867435158501441,0.686772170797253,0.9937888198757764,0.9246901811248808,0.8504150126308192,0.779786150712831,0.9925519955030916,0.9345228958212922,0.821646332902426,0.7490618304761917,0.9999074782050074
full_finetune,4,1.0,1.0,1.0,1.0,0.999129677980853,0.9985744832501782,0.998463227222832,1.0,0.8753367621846682,0.4497389033942559,0.7419536984754376,0.9969040247678018,0.8794291338582677,0.3971181556195965,0.7847118542848611,1.0,0.9496663489037178,0.8845182244677012,0.7181771894093686,0.9998594716132658,0.9803335385031112,0.851001885522866,0.8486031639076382,1.0
full_finetune,5,1.0,1.0,1.0,1.0,0.999420625724218,0.9989312433202708,0.9989008573312816,1.0,0.8351039260969977,0.4746243266231925,0.6911487758945386,0.9907692307692308,0.889763779527559,0.4824207492795389,0.65750970438937,1.0,0.9065776930409916,0.8276795380728978,0.7909877800407332,0.9995784148397976,0.9725238416039272,0.7787051356318062,0.7414955082801262,1.0
